NAME,PLACEHOLDER,ROLE_OF_PLACEHOLDER,STANDARD_NAMES,SOURCE_SUPPLIER,SUPPLYING_COMPANY,FUNCTIONAL_ROLES,MENTIONED_EXAMPLES,IS_ACTIVE_INGREDIENT,IS_STRUCTURAL_COMPONENT
Vitreoscilla Ferment,,,,,,Active ingredient,,True,False
keratin materials,,,,,,"skin care, anti-aging","skin, lips, eyelashes, eyebrows, nails, hair",False,True
water insoluble active ingredient,"vitreoscilla ferment, silica, boron nitride",Functional bridge between actives,"vitreoscilla ferment, silica, boron nitride",NOVEAL,NOVEAL,"antioxidant, promote cell growth, product synthesis",MEXORYL® SCW,True,False
Carbomer,,,Carbomer,"Lubrizol, 3 VSA","Lubrizol, 3 VSA","Emulsion stabilizer, Thickening agent","Carbopol 2984, Synthalen M, Carbopol 5984, Carbopol 954, Synthalen K, Carbopol 981, Carbopol 980",False,True
Xanthan Gum,,,Xanthan Gum,"Keltro, Rhodia, Monsanto Chemical","Keltro, Rhodia, Monsanto Chemical",Emulsion Stabilizer,"Keltrol T, Rhodicare S, Kelsan S",False,True
vitreoscilla ferment,,,"vitreoscilla ferment, silica, boron nitride",NOVEAL,NOVEAL,"skin conditioning agent, antioxidant","vitreoscilla ferment, silica, boron nitride",True,False
Carbomer,,,Carbomer,"Lubrizol, 3 VSA","Lubrizol, 3 VSA",Emulsion stabilizer,"Carbopol 980, Carbopol 981, Carbopol 954, Carbopol 2984, Carbopol 5984, Synthalen M, Synthalen K",False,True
Xanthan Gum,,,Xanthan Gum,"Keltro, Rhodia, Monsanto Chemical","Keltro, Rhodia, Monsanto Chemical","Emulsion Stabilizer, Viscosity Modifier","Keltrol T, Rhodicare S, Kelsan S",False,True
Alginic Acid and Alginates,,,"Alginic Acid, Sodium Alginate, Ammonium Alginate, Potassium Alginate","brown algae, certain bacteria","Cargill Products, FMC Biopolymer, Danisco, Kimica, DUPONT","emulsion stabilizer, water-soluble polymer","Kelcosol, Satialgine™, Cecalgum™, Algogel™, Protana, Alginate, Kimica Algin, PROTANAL PH 6160",False,True
sodium alginate,,,Sodium Alginate,natural sources,"Kelcosol, Kimica Algin, Protana","emulsion stabilizer, emulsifier","Kelcosol, Kimica Algin, Protana, Satialgine™, PROTANAL PH 6160, Cecalgum™",True,True
Alginic Acid,,,Alginic Acid,"Brown algae, Certain bacteria","Cargill Products, FMC Biopolymer, Danisco, Kimica, DUPONT","Emulsion stabilizer, Emulsifier, Viscosity modifier","Kelcosol, Satialgine™, Cecalgum™, Algogel™, Protana, Kimica Algin, PROTANAL PH 6160",True,True
mineral salt,,,,COMPAGNIE DE VICHY,COMPAGNIE DE VICHY,"structural component, pH adjuster","calcium chloride, calcium sulfate, calcium nitrate, calcium carbonate, calcium hydrogen carbonate, sodium chloride, sodium sulfate, sodium nitrate, sodium carbonate, sodium hydrogen carbonate, potassium chloride, potassium sulfate, potassium nitrate, potassium carbonate, potassium hydrogen carbonate, lithium chloride, lithium sulfate, lithium nitrate, lithium carbonate, lithium hydrogen carbonate, magnesium chloride, magnesium sulfate, magnesium nitrate, magnesium carbonate, magnesium hydrogen carbonate",False,True
water,,,Aqua,VICHY,VICHY,solvent,,False,True
