Nodes_in_graph,Matching_dataset_chemical,Extra_strings_present_in_Node,some_part_of_string_missing_in_node,True_Positive_Chemical_or_False,False_Positive_Chemical_Mention,Why?
EP2266989B1,None,N/A,N/A,FALSE,No,Bibliographic node patent # not recognized as a correct chemical mention
4d433d7261b400271c8a77682af61cd3641cb868d5459958a7fae1aae16f3f82#5000#0#SEM,None,N/A,N/A,FALSE,No,Internal SEM or metadata node referencing list of compounds not an actual chemical name
166193128e5ab7d9074da51203118ca70d5441748e155847cb7230f30e1638f7#5000#0#SEM,None,N/A,N/A,FALSE,No,Another metadata or SEM node
4d433d7261b400271c8a77682af61cd3641cb868d5459958a7fae1aae16f3f82#5000#2#SEM,None,N/A,N/A,FALSE,No,Same reasoning internal SEM node
4d433d7261b400271c8a77682af61cd3641cb868d5459958a7fae1aae16f3f82#5000#1#SEM,None,N/A,N/A,FALSE,No,Another internal SEM node
4d433d7261b400271c8a77682af61cd3641cb868d5459958a7fae1aae16f3f82#5000#3#SEM,None,N/A,N/A,FALSE,No,Another internal SEM node
Claim 1,None,N/A,N/A,FALSE,No,Claim 1 text node not recognized as a T# chemical
Chemical Compounds,None,N/A,N/A,FALSE,No,Heading or topic label not a T# compound
"(3,5-dibromo-4-hydroxy-phenyl)-(2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl)-methanone",T28,No,No,True Positive,No,Exact or near-exact match to T28
Hydrobromic Acid Salt,None,Yes extra phrase Acid Salt vs any T#,N/A,FALSE,Yes,Partial salt mention not a T# compound name
ep2266989b1,None,N/A,N/A,FALSE,No,Another patent or bibliographic reference not a chemical
european patent ep2266989b1,None,N/A,N/A,FALSE,No,Bibliographic text about the patent
claim 1,None,N/A,N/A,FALSE,No,claim 1 repeated not a chemical
claim 1 of ep2266989b1,None,N/A,N/A,FALSE,No,Longer mention of claim not a chemical
claim 1 of european patent ep2266989b1,None,N/A,N/A,FALSE,No,Another claim reference text
chemical compounds,None,N/A,N/A,FALSE,No,Lowercase heading for chemical compounds not T#
chemical compounds list,None,N/A,N/A,FALSE,No,Another heading list not T#
3 5 dibromo 4 hydroxy phenyl   2 3 dihydro pyrido 2 3 b  1 4 oxazin 1 yl  methanone,None,Yes spaced-out text,Possibly,FALSE,Yes,Partial spaced version does not exactly match any T#
hydrobromic acid salt,None,Yes,N/A,FALSE,Yes,Lowercase variant of hydrobromic acid salt still no T# match
carbon,None,N/A,N/A,FALSE,Yes,Single element recognized as chemical no T# match false positive
nitrogen,None,N/A,N/A,FALSE,Yes,Single element recognized not T# false positive
hydrogen,None,N/A,N/A,FALSE,Yes,Same reason element mention false positive
halogen,None,N/A,N/A,FALSE,Yes,Another element-family word false positive
cyano,None,N/A,N/A,FALSE,Yes,Just a substituent name not T# false positive
cyano group,None,Yes group appended,N/A,FALSE,Yes,Not a gold-standard compound false positive
nitro,None,N/A,N/A,FALSE,Yes,Again substituent false positive
nitro group,None,Yes,N/A,FALSE,Yes,Not a T# false positive
amino,None,N/A,N/A,FALSE,Yes,Just amino no T# false positive
amino group,None,Yes,N/A,FALSE,Yes,Not a T# false positive
carbonyl group,None,Yes,N/A,FALSE,Yes,Same logic false positive
thioxo group,None,Yes,N/A,FALSE,Yes,Another substituent not T# false positive
phenyl,None,N/A,N/A,FALSE,Yes,Just phenyl partial false positive
phenyl group,None,Yes,N/A,FALSE,Yes,Not T# false positive
racemate,None,N/A,N/A,FALSE,Yes,Generic term false positive
racemic mixture,None,Yes,N/A,FALSE,Yes,Another generic phrase false positive
pharmaceutically acceptable salt,None,Yes,N/A,FALSE,Yes,No T# partial mention false positive
pharmaceutical salt,None,Yes,N/A,FALSE,Yes,Another partial mention false positive
"(3,5-dibromo-4-hydroxy-phenyl)-[7-(4-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",T53,No,No,True Positive,No,Matches T53 from big doc fyi the trifluoromethyl-phenyl ring
"(3,5-dibromo-4-hydroxy-phenyl)-[7-(2-trifluoromethyl-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",T78,No,No,True Positive,No,Matches T46
"1-(3,5-dibromo-4-methoxy-benzoyl)-2,3-dihydro-1H-pyrido[2,3-b][1,4]oxazin-7-carbonitrile",T44,No,No,True Positive,No,Matches T47-1
"1-(3,5-dibromo-4-hydroxy-benzoyl)-2,3-dihydro-1H-pyrido[2,3-b][1,4]oxazin-7-carbonitrile",T19,No,No,True Positive,No,Matches T47-2
"(3,5-dibromo-4-methoxy-phenyl)-[7-(3-nitro-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",T7,No,No,True Positive,No,Indeed T48 or T49 both have same text matches T48
"(3,5-dibromo-4-hydroxy-phenyl)-[7-(3-dimethylamino-phenyl)-2,3-dihydro-pyrido[2,3-b][1,4]oxazin-1-yl]-methanone",T43,No,No,True Positive,No,Actually T43 from big doc with dimethylamino phenyl
